iata,icao,faa,latitude,longitude
,,4K0,59.7969444440001,-154.129972222
PEC,,,57.955172222,-136.236273333
PYL,,,60.685286944,-147.918736111
PEV,PAPE,,55.9067236110001,-159.160829167
,,63A,56.8113197220001,-132.960056667
PSG,PAPG,,56.801472222,-132.946222222
,,16K,55.7849052780001,-133.594223611
TPO,,,60.2043333330001,-154.318872778
,PAKX,05K,60.1984808330001,-154.323049167
KPY,,,57.930111111,-153.040559167
KPC,PAPC,,65.2534555560001,-166.857627778
PGM,,,59.3484750000001,-151.830322222
PTH,PAPH,,56.9591011110001,-158.633361944
ORI,,,57.8849250000001,-152.847572222
,,19P,56.328804167,-133.610084444
PWR,PPWR,,56.3810172220001,-134.650931111
KPR,,,58.490136944,-152.582165
PPC,PAPR,,66.814055556,-150.643611111
,,90AK,70.4921000000001,-148.703644444
SMK,PAMK,,63.4900555560001,-162.110388889
SNP,PASN,,57.1663055560001,-170.222555556
,,Z81,64.9090097220001,-165.014716667
SDP,PASD,,55.3136952780001,-160.521424722
WSJ,,,57.7303744440001,-153.320597222
SVA,PASA,,63.686277778,-170.493166667
SCM,PACM,,61.844541667,-165.57375
WLK,PASK,,66.600138889,-159.98575
,,8AK3,66.766043611,-160.15277
SOV,PASO,,59.4439055560001,-151.705041667
,,A27,59.4341052780001,-151.707661111
SWD,PAWD,,60.129885861,-149.416629444
,,01AK,60.1057944440001,-149.446255556
,,1AK8,61.6746722220001,-151.384875
DDT,,,62.7246119440001,-143.920514444
SLQ,PASL,,61.700509444,-157.165849722
,,7AK2,58.134395833,-133.729513056
,,1AK4,60.524154444,-150.752209167
,,7AK3,60.4763719440001,-151.166113611
,,7AK5,60.5035966670001,-150.935550278
,,7AK6,60.475818056,-150.928879167
,,SD1,60.492652778,-151.078938889
SXQ,PASX,,60.475138889,-151.039638889
,,L85,60.533611111,-150.995555556
,,AK55,60.4891666670001,-150.801666667
,,AK39,60.6971975000001,-150.179949167
SVS,PFSV,,66.0171666670001,-149.054361111
SRV,,,61.7897500000001,-156.588527778
UMM,PAST,,63.331040139,-149.128836111
,,8AK6,61.3719452780001,-150.262223611
,,28AK,61.808876667,-147.859346389
,,AK59,61.790700417,-148.352692083
,,52AK,61.7040305560001,-148.908788889
TCT,PPCT,,62.992944444,-156.029722222
TLJ,PATL,,62.894915278,-155.9780125
,,A43,58.0691138890001,-134.015356389
TKL,PFTK,,58.489683056,-133.943421111
TKA,PATK,,62.3213719440001,-150.092718333
,PAKA,7KA,60.872388889,-146.691166667
,,8KA,62.293286944,-153.361953056
,,AK49,65.679275278,-164.798806944
ATM,PATM,,60.8677777780001,-157.391944444
,,Z14,62.064788611,-146.460521944
,,5AK,62.063448056,-146.449465528
,,2K5,63.378984722,-153.284215278
TER,PATE,,65.240388889,-166.339388889
TKE,,,57.779658333,-135.218443889
,,3T4,63.1246944440001,-142.518555556
,,K55,61.177270278,-145.688433889
KTB,,,55.6879619440001,-132.536675833
,,AK56,59.963160278,-158.477235
TLT,PALT,,61.087727778,-160.923352778
,,Z20,60.341456667,-162.665620556
,,A61,60.3511083330001,-162.654611111
,POKA,4KA,60.5695277780001,-165.246277778
,,AK62,55.849642778,-133.2278275
,,A63,59.0745250000001,-160.275041667
TYE,,,61.0766625000001,-151.138070278
,,9AK3,61.013884444,-151.448910278
,,5AK1,61.1807694440001,-151.041147222
,,9A8,57.523425,-157.395994444
UMT,PAUM,,69.371112667,-152.134982667
UNK,PAUN,,63.8885000000001,-160.799111111
DUT,PADU,,53.8989444440001,-166.545027778
UTO,PAIM,,65.992772222,-153.703488889
,,41AK,61.5009000000001,-149.6397
,,5AK8,61.6313500000001,-149.432419444
,,7AK4,61.5414805560001,-149.460680556
,,T66,61.6190111110001,-149.678561111
,,44AK,61.5334444440001,-150.102444444
,,5L6,61.586406111,-149.407499167
,,3AK8,61.6625388890001,-149.3919
,,43AK,61.6007611110001,-149.579169444
,,0AK1,61.6168805560001,-149.321538889
,,71AK,61.5276388890001,-149.496311111
,,16AK,61.5991666670001,-149.346944444
,,89AK,61.559388889,-149.705469444
,,AK65,61.5979500000001,-149.350511111
,,10AK,61.591880556,-149.677911111
IYS,PAWS,,61.571986139,-149.539556694
,,87AK,61.6515305560001,-149.288480556
,,4AK2,61.5579888890001,-149.424077778
,,5AK5,61.6570888890001,-149.461711111
,,3H3,61.597611111,-149.316361111
,,6AK8,61.6181500000001,-149.669188889
,,6AK7,61.574722222,-149.635
,,9AK6,61.6240611110001,-149.6483
,,8AK8,61.6300000000001,-149.682580556
,,6AK9,61.633461111,-149.682380556
,,9AK8,61.6247422220001,-149.68223
,,AK47,61.585688889,-149.56335
,,AK54,61.5933305560001,-149.326230556
